seed;score;water scale;water coverage;elevation type
2420538019;0.699646;0.5;2;1.1
452135928;0.69956;1;1;1.1
3311251254;0.699372;0.5;0.166667;island
3311251254;0.699372;0.5;0.25;island
3311251254;0.699372;0.5;0.333333;island
964792130;0.699355;0.333333;0.5;2.0
4080381307;0.699105;0.166667;0.333333;2.0
2875009866;0.698862;1.33333;1;1.1
2969444132;0.698189;0.5;1.33333;1.1
1263255752;0.698174;0.75;0.75;1.1
1816471253;0.69809;1.5;6;1.1
2053278339;0.697288;0.333333;1;2.0
71022831;0.696857;0.333333;0.5;2.0
2784987097;0.696487;0.25;0.25;2.0
799381882;0.695761;0.25;0.5;2.0
3991852583;0.695654;0.75;0.333333;1.1
3991852583;0.695654;0.75;0.166667;1.1
3991852583;0.695654;0.75;0.25;1.1
2410473330;0.695284;1;0.333333;1.1
634085864;0.694869;0.75;6;2.0
634085864;0.694869;0.75;4;2.0
3133379207;0.69486;0.166667;0.5;2.0
3474479777;0.694799;0.5;2;island
1513914367;0.694051;0.5;1.5;1.1
2218729777;0.693997;0.333333;0.166667;2.0
2218729777;0.693997;0.25;0.166667;2.0
2133978610;0.693628;0.75;0.25;1.1
1548607300;0.693376;1;4;island
1548607300;0.693376;1;6;island
2348387871;0.693241;0.166667;0.25;2.0
2334984622;0.693166;1.33333;0.5;1.1
3711947172;0.693164;3;0.75;1.1
470197542;0.692902;0.75;0.25;1.1
2218729777;0.692761;0.166667;0.25;2.0
2218729777;0.692761;0.166667;0.166667;2.0
837752543;0.692373;0.333333;0.25;1.1
3320321659;0.692279;0.25;0.25;1.1
3474479777;0.691799;0.5;3;island
937532424;0.691777;0.333333;0.333333;1.1
2983378;0.691664;0.75;6;island
2485214136;0.691422;0.25;0.25;1.1
837752543;0.691373;0.5;0.5;2.0
4077427686;0.69111;0.5;0.5;2.0
2660135719;0.690943;0.166667;0.5;2.0
2076701156;0.690555;0.75;0.5;1.1
3590713662;0.690239;0.5;6;island
2508734803;0.689991;1;0.5;1.1
2098428301;0.689699;1;0.25;1.1
4127598442;0.689677;0.25;0.333333;2.0
3188618776;0.689673;0.166667;0.5;2.0
4242289934;0.689302;0.25;0.333333;2.0
3363652949;0.689282;0.25;0.333333;2.0
3363652949;0.689282;0.25;0.5;2.0
926056644;0.689139;0.166667;0.5;2.0
3593737199;0.688803;0.75;3;1.1
1782707797;0.688537;0.25;0.333333;1.1
2267554587;0.688514;0.5;4;island
3366847249;0.688273;0.75;0.333333;1.1
1396716494;0.688226;0.166667;0.166667;2.0
2508734803;0.688025;0.25;0.5;1.1
2975273117;0.687741;0.25;0.25;2.0
3085557509;0.68739;0.166667;0.5;2.0
3991852583;0.687321;0.75;0.5;1.1
3872995160;0.686814;0.333333;0.25;1.1
281126631;0.686617;0.25;0.333333;1.1
397483678;0.686428;0.5;0.25;1.1
837752542;0.686312;0.333333;0.333333;1.1
152731951;0.68614;0.166667;0.5;2.0
420597516;0.685931;0.5;0.5;1.1
3991852583;0.685549;0.5;0.333333;1.1
3991852583;0.685549;0.5;0.25;1.1
1946587;0.685196;0.166667;0.5;2.0
1428718326;0.684384;0.5;0.75;1.1
1268273079;0.684192;0.75;0.5;1.1
3713665993;0.683973;0.5;1;1.1
2133978611;0.683917;0.75;0.25;1.1
1085802379;0.683832;0.333333;0.5;2.0
3442313548;0.683475;0.166667;0.333333;2.0
2958393665;0.683285;0.25;0.25;1.1
4066373592;0.683199;0.75;2;1.1
3968147300;0.683186;0.333333;0.5;1.1
3311251255;0.683076;0.5;0.25;island
3311251255;0.683076;0.5;0.333333;island
3311251255;0.683076;0.5;0.166667;island
3991852583;0.68299;0.25;0.166667;2.0
1565488144;0.682899;0.5;1;1.1
1411347400;0.682599;1;1;1.1
3533413794;0.681919;0.166667;0.25;2.0
2525546692;0.68154;0.166667;0.333333;2.0
2331534476;0.681;0.5;0.75;island
3961342485;0.680641;0.75;1.33333;island
3961342485;0.680641;0.75;0.75;island
3961342485;0.680641;0.75;4;island
3961342485;0.680641;0.75;1;island
3961342485;0.680641;0.75;0.5;island
3961342485;0.680641;0.75;0.25;island
3961342485;0.680641;0.75;2;island
3961342485;0.680641;0.75;1.5;island
3961342485;0.680641;0.75;0.333333;island
3961342485;0.680641;0.75;0.166667;island
3961342485;0.680641;0.75;3;island
2498582582;0.680399;0.166667;0.333333;2.0
3936117085;0.680202;0.333333;0.75;2.0
