69069510; 5
68696528; 5
69666760; 5
73134180; 5
86040460; 5
80642926; 5
80720206; 5
151397454; 5
122396098; 5
135962856; 5
89300138; 5
103283822; 5
116101268; 5
151692954; 5
148308014; 5
140776688; 5
145325048; 5
2845552; 5
326923818; 5
159592162; 5
167058000; 5
3438082; 5
203654710; 5
174779888; 5
196182764; 5
193415954; 5
233482098; 5
206447458; 5
212386624; 5
212038718; 5
233162456; 5
218199308; 5
228617516; 5
226809990; 5
324097200; 5
245092322; 5
261156058; 5
257850828; 5
274279038; 5
268874266; 5
273864726; 5
273464176; 5
319243890; 5
283753726; 5
293122860; 5
289572932; 5
310515446; 5
298233308; 5
308541992; 5
306205254; 5
644552504; 5
330588958; 5
341238216; 5
337784876; 5
363286666; 5
348456202; 5
363694128; 5
354760248; 5
386577980; 5
371114898; 5
375997226; 5
376515638; 5
383732240; 5
378262782; 5
381405852; 5
381855326; 5
488140608; 5
387612002; 5
393429000; 5
392770896; 5
415143436; 5
401141928; 5
416304368; 5
412234808; 5
484295066; 5
425933818; 5
441605442; 5
441458686; 5
93278900; 5
473582234; 5
470280526; 5
453929964; 5
643768560; 5
491623948; 5
510788404; 5
505099564; 5
527480412; 5
515919850; 5
523693560; 5
522749724; 5
564097240; 5
530566498; 5
538328752; 5
534427584; 5
553271004; 5
542842314; 5
553975538; 5
548522870; 5
645205314; 5
568708092; 5
578970162; 5
577247672; 5
596572534; 5
587063874; 5
591479780; 5
593801362; 5
643463018; 5
600388788; 5
623291372; 5
618253738; 5
642318600; 5
642202260; 5
634106402; 5
1266875664; 5
651416416; 5
675089754; 5
670035810; 5
709712232; 5
696199908; 5
706890334; 5
702392402; 5
747496282; 5
711312626; 5
726668130; 5
718250960; 5
749937214; 5
741104590; 5
750400294; 5
751016452; 5
826758100; 5
761692390; 5
781892926; 5
764330540; 5
793696346; 5
784596794; 5
788068030; 5
790121876; 5
821225088; 5
800008910; 5
806857352; 5
807772564; 5
817333954; 5
814726504; 5
816793918; 5
814841386; 5
975294698; 5
835195002; 5
840949492; 5
841216798; 5
868012016; 5
842344660; 5
862161230; 5
857443782; 5
899735354; 5
874998604; 5
877152750; 5
874419100; 5
898295104; 5
888487072; 5
892558418; 5
889542520; 5
972422204; 5
908749820; 5
916008562; 5
911798114; 5
931533562; 5
922262348; 5
937908724; 5
933631690; 5
971014866; 5
944590848; 5
958702176; 5
952347324; 5
968972478; 5
964850068; 5
967314276; 5
962682220; 5
1263615116; 5
978327024; 5
1003110252; 5
997092466; 5
1016456816; 5
1005396572; 5
1013741442; 5
1010764862; 5
1046807284; 5
1019670474; 5
1022195856; 5
1027077958; 5
1038045792; 5
1035060044; 5
1035796300; 5
1029068764; 5
1115322364; 5
1050041740; 5
1076989030; 5
1074890856; 5
1093002658; 5
1085577564; 5
1092157394; 5
1091044736; 5
1112555422; 5
1099121846; 5
1104038618; 5
1102690008; 5
1113900188; 5
1101494374; 5
1116639080; 5
1114072596; 5
1264799230; 5
1124687410; 5
1128080186; 5
1122403320; 5
1137720592; 5
1132282856; 5
1141641182; 5
1135510736; 5
1177678842; 5
1147800708; 5
1150312376; 5
1153480678; 5
1166860934; 5
1161654066; 5
1167532500; 5
1167362758; 5
1264413230; 5
1179624300; 5
1195770260; 5
1193939836; 5
1219239516; 5
1199005242; 5
1215478304; 5
1215583000; 5
1257913804; 5
1230690868; 5
1243915662; 5
1236880674; 5
1256595938; 5
1252181056; 5
1252042938; 5
25766586; 5
2461360068; 5
1265320724; 5
1283632088; 5
1279355840; 5
1303795370; 5
1282017250; 5
1304634706; 5
1293362540; 5
1340451488; 5
1312233300; 5
1317871996; 5
1312876200; 5
1343436920; 5
1318108956; 5
1343039068; 5
1332990928; 5
1410060170; 5
1347677956; 5
1353355542; 5
1348233528; 5
1386969262; 5
1365422334; 5
1385859310; 5
1378037454; 5
